('None', 'Custom', 'COX', 'Mean -> RFE -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8424615753297823)

('None', 'Custom', 'COX', 'Mean -> RFE -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.83487407086671)

('None', 'Custom', 'COX', 'Mean -> RFE -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8513533834586466)

('None', 'Custom', 'COX', 'Mean -> RFE -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8360911698318144)

('None', 'Custom', 'COX', 'Mean -> RFE -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8281398121492337)

('None', 'Custom', 'COX', 'Mean -> RFE -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8212567541341941)

('None', 'Custom', 'COX', 'Mean -> LASSO -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8397873707830898)

('None', 'Custom', 'COX', 'Mean -> LASSO -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8373712522413578)

('None', 'Custom', 'COX', 'Mean -> LASSO -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8465413533834586)

('None', 'Custom', 'COX', 'Mean -> LASSO -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8320095718140624)

('None', 'Custom', 'COX', 'Mean -> LASSO -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8345655412813089)

('None', 'Custom', 'COX', 'Mean -> LASSO -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8209350070988631)

('None', 'Custom', 'COX', 'Mean -> UC -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.6813720684509221)

('None', 'Custom', 'COX', 'Mean -> UC -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.6503273424794629)

('None', 'Custom', 'COX', 'Mean -> UC -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.6631766917293233)

('None', 'Custom', 'COX', 'Mean -> UC -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.6161473448398758)

('None', 'Custom', 'COX', 'Mean -> UC -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.6368453602451297)

('None', 'Custom', 'COX', 'Mean -> UC -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.6289797044012951)

('None', 'Custom', 'COX', 'CCA -> IG -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8041143654114365)

('None', 'Custom', 'COX', 'CCA -> IG -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8139515524848081)

('None', 'Custom', 'COX', 'CCA -> IG -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8193864106907586)

('None', 'Custom', 'COX', 'CCA -> IG -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8410320432792343)

('None', 'Custom', 'COX', 'CCA -> IG -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8145345965605496)

('None', 'Custom', 'COX', 'CCA -> IG -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8233644014116369)

('None', 'Custom', 'COX', 'CCA -> RFE -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8152306565779839)

('None', 'Custom', 'COX', 'CCA -> RFE -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8116814650388458)

('None', 'Custom', 'COX', 'CCA -> RFE -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8193864106907586)

('None', 'Custom', 'COX', 'CCA -> RFE -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8410320432792343)

('None', 'Custom', 'COX', 'CCA -> RFE -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8145345965605496)

('None', 'Custom', 'COX', 'CCA -> RFE -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8233644014116369)

('None', 'Custom', 'COX', 'CCA -> LASSO -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8094142259414226)

('None', 'Custom', 'COX', 'CCA -> LASSO -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8051616483973915)

('None', 'Custom', 'COX', 'CCA -> LASSO -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8241294936947111)

('None', 'Custom', 'COX', 'CCA -> LASSO -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8509918157858233)

('None', 'Custom', 'COX', 'CCA -> LASSO -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8200574738449105)

('None', 'Custom', 'COX', 'CCA -> LASSO -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8353995113564383)

('None', 'Custom', 'COX', 'CCA -> UC -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.6229428172942817)

('None', 'Custom', 'COX', 'CCA -> UC -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.625957375957376)

('None', 'Custom', 'COX', 'CCA -> UC -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.6225672877846791)

('None', 'Custom', 'COX', 'CCA -> UC -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.6295880149812734)

('None', 'Custom', 'COX', 'CCA -> UC -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.6037447802074447)

('None', 'Custom', 'COX', 'CCA -> UC -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.6084517238258981)

('None', 'Custom', 'COX', 'MI -> IG -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8164765857324924)

('None', 'Custom', 'COX', 'MI -> IG -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8132757877764342)

('None', 'Custom', 'COX', 'MI -> IG -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8251629072681704)

('None', 'Custom', 'COX', 'MI -> IG -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.7888600376762894)

('None', 'Custom', 'COX', 'MI -> IG -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.7972507238636044)

('None', 'Custom', 'COX', 'MI -> IG -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.7917122049375402)

('None', 'Custom', 'COX', 'MI -> RFE -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8164765857324924)

('None', 'Custom', 'COX', 'MI -> RFE -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8132757877764342)

('None', 'Custom', 'COX', 'MI -> RFE -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8251629072681704)

('None', 'Custom', 'COX', 'MI -> RFE -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.7888600376762894)

('None', 'Custom', 'COX', 'MI -> RFE -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.7972507238636044)

('None', 'Custom', 'COX', 'MI -> RFE -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.7917122049375402)

('None', 'Custom', 'COX', 'MI -> LASSO -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8387307604326656)

('None', 'Custom', 'COX', 'MI -> LASSO -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8367040573787582)

('None', 'Custom', 'COX', 'MI -> LASSO -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8459398496240601)

('None', 'Custom', 'COX', 'MI -> LASSO -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.8317804592434194)

('None', 'Custom', 'COX', 'MI -> LASSO -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.8335198043459927)

('None', 'Custom', 'COX', 'MI -> LASSO -> MR -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.8217521424266876)

('None', 'Custom', 'COX', 'MI -> UC -> MUO -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.6821509101009771)

('None', 'Custom', 'COX', 'MI -> UC -> MUO -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.652773723642328)

('None', 'Custom', 'COX', 'MI -> UC -> MUO -> DBT -> COX', 'C-Index', 'Quality Metric: ', 0.6621804511278195)

('None', 'Custom', 'COX', 'MI -> UC -> MR -> DBID -> COX', 'C-Index', 'Quality Metric: ', 0.6542945878519424)

('None', 'Custom', 'COX', 'MI -> UC -> MR -> ED -> COX', 'C-Index', 'Quality Metric: ', 0.6505776853231383)

